-700,-727,-265,513,448,102,1,-8,2,-8,-4,-7,-1033,-2077,-324,1885,415,-1484
-939,-545,-301,-53,400,309,-14,-3,1,-1,10,-11,-1855,-2037,784,-158,673,-426
-768,-314,-85,-236,-144,94,8,-8,10,5,10,-9,-1789,-1175,1252,143,-570,-455
-543,196,56,-230,492,24,-16,-5,9,8,-3,0,-1675,-1380,-855,-766,1595,-538
-1008,-213,-185,196,348,71,-6,5,8,0,4,-7,-2500,-1286,-150,998,811,-405
-497,-915,-708,39,-49,-95,11,-16,0,-11,4,0,-905,-2722,718,-203,66,-798
-675,-367,-261,282,452,358,-4,-3,8,0,-3,-16,-1606,-1398,-624,605,989,52
-2125,-694,701,-184,131,-203,-11,-5,19,-8,12,-4,-5414,187,140,439,417,2593
-46,126,-1088,-156,-282,-209,-43,-12,-5,-37,54,27,-412,-2861,-1133,-832,-757,-380
-1018,-267,-94,-132,-156,-88,1,1,9,3,11,-2,-2068,-991,1063,440,-322,-175
-629,321,-108,487,-114,-256,-16,0,2,-15,1,6,-2977,527,-1410,1093,-852,159
-40,-406,-664,-396,-471,114,12,-14,7,-4,0,7,397,-2055,1075,-1503,113,-235
-685,1024,195,-412,-508,100,9,3,1,-12,7,-17,-3447,2567,-839,-412,-432,15
-745,-58,-571,-205,21,89,-9,7,18,-7,0,7,-1807,-1902,230,-316,1111,-346
-967,108,-126,334,277,114,-51,-2,0,11,-9,37,-2447,-110,-982,1171,399,1359
-1059,387,235,-154,-248,76,48,55,17,-73,10,-45,-3034,1801,263,-218,169,691
-1003,-413,-307,91,64,37,0,12,0,0,28,3,-2121,-902,843,359,-311,-16
-2252,-764,813,-9,65,-164,-8,-1,18,-14,12,-14,-5836,229,267,468,408,2923
-751,641,-768,-2,19,190,-13,3,18,4,-5,5,-1641,-286,-1756,-490,57,-533
-750,-209,-299,-104,236,141,13,-41,42,-7,49,-111,-1686,-1308,-392,-62,1240,222
-1575,109,-44,53,143,1203,-9,3,3,-18,13,4,-4243,-1200,821,-622,359,1216
-772,421,55,-248,87,-269,4,4,16,-11,-8,-1,-2332,-346,-172,-580,449,-122
-509,388,-238,135,-31,-62,-12,9,0,-16,-7,10,-2969,1385,-1577,772,-362,232
-985,-402,-467,-50,153,133,-24,-1,-4,-10,1,-2,-1536,-1489,458,-398,507,10
-768,-1103,-219,-90,-77,38,1,-17,-6,0,13,-2,-984,-1918,1850,163,-126,-809
-1029,-63,-486,36,-85,342,-10,-5,17,-9,1,9,-2422,-1417,209,-104,780,392
-262,282,-1283,183,-233,-140,-11,-10,-1,0,0,10,-769,-1750,-1739,-65,-1177,-666
-2070,-5,631,235,-227,-73,1,3,19,-17,4,-12,-5165,807,1345,-167,158,1962
